word,translation,phonetic,mastered,sentences
"abrupt","ADJ. 突然，唐突，突發性，突兀，突變，突發，生硬，忽然，陡峭","/əˈbrʌpt/","✗","The party came to an abrupt end when the parents of our host arrived.;The cause of your abrupt departure.;'Is it a slickstone?' she asks, and Maren snorts, an abrupt sound, bringing her hand up to her mouth."
"accessibility","NOUN. 易用性，輔助","/əkˌsesəˈbɪləti/","✓","He says the company's FLIRT design, in particular its retractable steps, provides greater accessibility, while the technology is highly innovative and reliable.;Now, covered concrete troughs to house the cables are laid parallel with the railway lines, cheapening maintenance because of improved accessibility for inspection and repair.;They will feature wider gangways for better wheelchair accessibility, as well as compatibility with platform screen doors - should these ever be introduced in the future."
"acquisition","NOUN. 習得，收購，採集，習得中，獲取，併購，捕獲，採訪，採購","/ˌækwɪˈzɪʃn/","✗","This paper explores the position of the copula in the development of the verb system in second language acquisition of Italian.;That graphite tennis racquet is quite an acquisition.;The acquisition of sports equipment can be fun in itself."
"allegory","NOUN. 寓言，寓言故事，寓意","/ˈæləɡəri/","✗","Mrs Malaprop said, “He’s as headstrong as an allegory on the banks of the Nile.”;More affected by Cabbalic and Hermetic studies than Mede, he too uses allegory in his exposition of the Scriptures, and in teaching constantly quotes the prophetic books.;In the Fairy Queen, allegory is wrought upon chivalry, and the feats and figments of Arthur’s round table are moralised."
"amateur","ADJ. 業餘，業餘愛好者，業餘，愛好者，外行 NOUN. 業餘選手","/ˈæmətə(r)/","✗","he conducted extensive correspondence on wines with European suppliers, employing a wine vocabulary familiar to any modern amateur of wines.;amateur sports;Duct tape is a sure sign of amateur workmanship."
"ambush","NOUN. 埋伏，伏擊，伏兵，潛伏","/ˈæmbʊʃ/","✓","to decoy troops into an ambush; to decoy ducks into a net;Additional sentries are keeping watch for any signs of an ambush.;A part of their company, who had been sent out on a skulk, had not returned, and great anxiety was felt lest they had fallen into an ambush and been captured."
"amiable","ADJ. 和藹可親，可親，隨和，可親可敬，平易近人，親切，和藹","/ˈeɪmiəbl/","✗","Which is really useful and amiable to me;an amiable temper;amiable ideas;The sums I have lent him! indeed—I have been exceedingly to blame—it was an amiable weakness!"
"anesthesia","NOUN. 麻醉，複合麻醉，麻醉劑，麻，阻滯，全麻","/ˌænəsˈθiːziə/","✗","General anesthesia may decrease the functional residual capacity (FRC) for up to 1 to 2 weeks postoperatively.;light sleep; light anesthesia;The patient didn't want to be sedated, so we applied only local anesthesia."
"annex","NOUN. 附件，附錄，兼併，附表 VERB. 吞併","/ˈæneks/","✗","Under Edward the Second, the Commons began to annex petitions to the bills by which they granted subsidies;to annex a penalty to a prohibition, or punishment to guilt;Next to sorrow still I may annex such accidents as procure fear; for besides those terrors which I have before touched, […] there is a superstitious fear […] which much trouble many of us."
"applicable","ADJ. 適用，適，實用，適合","/əˈplɪkəbl/","✗","This rule is not applicable to the longer-standing members of the club.;An advice issued by a Monitoring Committee could be applicable in a Dutch court;the question arises, whether an advice issued by a Monitoring Committee would actually be applicable in a Dutch court"
